rho,Method,Modality,Error
0.8,clustered,1,0.04048744974397434
0.8,clustered,2,0.17622915074578174
0.8,clustered,3,0.0017960899212624338
0.8,distinct,1,0.037674377441833995
0.8,distinct,2,0.19352399851176802
0.8,distinct,3,0.0017779517498039531
0.85,clustered,1,0.035248454525657585
0.85,clustered,2,0.1815768414992786
0.85,clustered,3,0.0013775469930953962
0.85,distinct,1,0.03735607915523174
0.85,distinct,2,0.22149139012129754
0.85,distinct,3,0.0013400674109287202
0.9,clustered,1,0.02774989818555093
0.9,clustered,2,0.1730783989566738
0.9,clustered,3,0.0017046446242383498
0.9,distinct,1,0.039113846873010824
0.9,distinct,2,0.22850043022363833
0.9,distinct,3,0.001710074321299713
0.95,clustered,1,0.020346284408437776
0.95,clustered,2,0.13336096709211936
0.95,clustered,3,0.0015328432273498758
0.95,distinct,1,0.03814376098815465
0.95,distinct,2,0.18830042191744714
0.95,distinct,3,0.0015575843415654284
1.0,clustered,1,0.015360994678861989
1.0,clustered,2,0.02024467630231773
1.0,clustered,3,0.00164274839743979
1.0,distinct,1,0.03737572427117984
1.0,distinct,2,0.044024148176166955
1.0,distinct,3,0.0016474042612628088
