rho,Method,Modality,Error
0.8,clustered,1,0.04378448258500336
0.8,clustered,2,0.18315057650172378
0.8,clustered,3,0.0026719590905510994
0.8,distinct,1,0.03749955272312225
0.8,distinct,2,0.1994280059433025
0.8,distinct,3,0.00263402202997728
0.85,clustered,1,0.037774201742634156
0.85,clustered,2,0.1839971783199972
0.85,clustered,3,0.001460578774328409
0.85,distinct,1,0.04112403412032609
0.85,distinct,2,0.22390227601787957
0.85,distinct,3,0.0014828834534903856
0.9,clustered,1,0.031405453977961545
0.9,clustered,2,0.17921863244426972
0.9,clustered,3,0.002043210682548083
0.9,distinct,1,0.03838052036183902
0.9,distinct,2,0.2341313254738806
0.9,distinct,3,0.002032344555530698
0.95,clustered,1,0.02102752746646638
0.95,clustered,2,0.1359875512563832
0.95,clustered,3,0.002391737126836033
0.95,distinct,1,0.0382100257194271
0.95,distinct,2,0.19240148662735282
0.95,distinct,3,0.0023878272499497865
1.0,clustered,1,0.014537534071743418
1.0,clustered,2,0.021052267999123103
1.0,clustered,3,0.0015800683687773338
1.0,distinct,1,0.03893806293545864
1.0,distinct,2,0.04538193776169695
1.0,distinct,3,0.0016259478982313985
