N,rho,Clustering_Status,Modality,Error
2000,0.8,clustered,1,0.0437844825850033
2000,0.8,distinct,1,0.0374995527231222
2000,0.85,clustered,1,0.0377742017426341
2000,0.85,distinct,1,0.041124034120326
2000,0.9,clustered,1,0.0314054539779615
2000,0.9,distinct,1,0.038380520361839
2000,0.95,clustered,1,0.0210275274664663
2000,0.95,distinct,1,0.0382100257194271
2000,1.0,clustered,1,0.0145375340717434
2000,1.0,distinct,1,0.0389380629354586
2500,0.8,clustered,1,0.0450697596751803
2500,0.8,distinct,1,0.039869343575034
2500,0.85,clustered,1,0.0348023956650016
2500,0.85,distinct,1,0.0375846763261681
2500,0.9,clustered,1,0.0287169039978034
2500,0.9,distinct,1,0.0401801687607903
2500,0.95,clustered,1,0.0205293476123386
2500,0.95,distinct,1,0.0389122301607978
2500,1.0,clustered,1,0.0145195200723527
2500,1.0,distinct,1,0.0378705390252681
3000,0.8,clustered,1,0.0408026274930742
3000,0.8,distinct,1,0.0396279123989339
3000,0.85,clustered,1,0.0371342691984363
3000,0.85,distinct,1,0.0372082920714757
3000,0.9,clustered,1,0.0290633950312806
3000,0.9,distinct,1,0.0390086970967609
3000,0.95,clustered,1,0.0208700519853879
3000,0.95,distinct,1,0.039146268020174
3000,1.0,clustered,1,0.0146861348403905
3000,1.0,distinct,1,0.0388570933179887
3500,0.8,clustered,1,0.0429850271121923
3500,0.8,distinct,1,0.0384591731574555
3500,0.85,clustered,1,0.0356747582254368
3500,0.85,distinct,1,0.0374515020149739
3500,0.9,clustered,1,0.0288309243334844
3500,0.9,distinct,1,0.0412880300190907
3500,0.95,clustered,1,0.0186583348272989
3500,0.95,distinct,1,0.0353078589153504
3500,1.0,clustered,1,0.0143372586467898
3500,1.0,distinct,1,0.0378009270454455
4000,0.8,clustered,1,0.0404874497439743
4000,0.8,distinct,1,0.0376743774418339
4000,0.85,clustered,1,0.0352484545256575
4000,0.85,distinct,1,0.0373560791552317
4000,0.9,clustered,1,0.0277498981855509
4000,0.9,distinct,1,0.0391138468730108
4000,0.95,clustered,1,0.0203462844084377
4000,0.95,distinct,1,0.0381437609881546
4000,1.0,clustered,1,0.0153609946788619
4000,1.0,distinct,1,0.0373757242711798
