rho,Method,Modality,Error
0.8,clustered,1,0.04506975967518034
0.8,clustered,2,0.17257301837582378
0.8,clustered,3,0.0017080510175658912
0.8,distinct,1,0.03986934357503402
0.8,distinct,2,0.19395007995139546
0.8,distinct,3,0.0017210904234907507
0.85,clustered,1,0.0348023956650016
0.85,clustered,2,0.1821444542648928
0.85,clustered,3,0.0018489893109939796
0.85,distinct,1,0.03758467632616811
0.85,distinct,2,0.22205329614276728
0.85,distinct,3,0.001854018105028199
0.9,clustered,1,0.028716903997803418
0.9,clustered,2,0.17485631561612408
0.9,clustered,3,0.0015409239851088673
0.9,distinct,1,0.04018016876079036
0.9,distinct,2,0.229723135443304
0.9,distinct,3,0.0015587543193483475
0.95,clustered,1,0.02052934761233861
0.95,clustered,2,0.13543304583622187
0.95,clustered,3,0.00162967022733532
0.95,distinct,1,0.03891223016079786
0.95,distinct,2,0.18944844006858957
0.95,distinct,3,0.0016259232344931485
1.0,clustered,1,0.014519520072352791
1.0,clustered,2,0.021318203313077818
1.0,clustered,3,0.0019110170092392126
1.0,distinct,1,0.03787053902526813
1.0,distinct,2,0.045841901236066206
1.0,distinct,3,0.0019222549393135301
