rho,Method,Modality,Error
0.8,clustered,1,0.0429850271121923
0.8,clustered,2,0.1754049494254847
0.8,clustered,3,0.0013369963877254323
0.8,distinct,1,0.03845917315745554
0.8,distinct,2,0.1934587340345341
0.8,distinct,3,0.0013468015554633384
0.85,clustered,1,0.03567475822543687
0.85,clustered,2,0.18348435790057574
0.85,clustered,3,0.001733043631054619
0.85,distinct,1,0.03745150201497396
0.85,distinct,2,0.22161986762286368
0.85,distinct,3,0.0017515939252481707
0.9,clustered,1,0.02883092433348441
0.9,clustered,2,0.17492128117511963
0.9,clustered,3,0.0019297398212298766
0.9,distinct,1,0.04128803001909075
0.9,distinct,2,0.22981980671254768
0.9,distinct,3,0.001965758856679173
0.95,clustered,1,0.018658334827298905
0.95,clustered,2,0.13220753947160854
0.95,clustered,3,0.0017092945086929273
0.95,distinct,1,0.035307858915350494
0.95,distinct,2,0.1881115816914425
0.95,distinct,3,0.0017224266999308366
1.0,clustered,1,0.014337258646789839
1.0,clustered,2,0.018497853404109862
1.0,clustered,3,0.0019444675405582866
1.0,distinct,1,0.03780092704544551
1.0,distinct,2,0.04455904437851412
1.0,distinct,3,0.001978776136307419
