N,rho,Clustering_Status,Modality,Error
2000,0.8,clustered,2,0.1831505765017237
2000,0.8,distinct,2,0.1994280059433025
2000,0.85,clustered,2,0.1839971783199972
2000,0.85,distinct,2,0.2239022760178795
2000,0.9,clustered,2,0.1792186324442697
2000,0.9,distinct,2,0.2341313254738806
2000,0.95,clustered,2,0.1359875512563832
2000,0.95,distinct,2,0.1924014866273528
2000,1.0,clustered,2,0.0210522679991231
2000,1.0,distinct,2,0.0453819377616969
2500,0.8,clustered,2,0.1725730183758237
2500,0.8,distinct,2,0.1939500799513954
2500,0.85,clustered,2,0.1821444542648928
2500,0.85,distinct,2,0.2220532961427672
2500,0.9,clustered,2,0.174856315616124
2500,0.9,distinct,2,0.229723135443304
2500,0.95,clustered,2,0.1354330458362218
2500,0.95,distinct,2,0.1894484400685895
2500,1.0,clustered,2,0.0213182033130778
2500,1.0,distinct,2,0.0458419012360662
3000,0.8,clustered,2,0.179423962760921
3000,0.8,distinct,2,0.1947262522161361
3000,0.85,clustered,2,0.1861647913641474
3000,0.85,distinct,2,0.2245602438405199
3000,0.9,clustered,2,0.1758036285087626
3000,0.9,distinct,2,0.2303100235202194
3000,0.95,clustered,2,0.133029553433961
3000,0.95,distinct,2,0.1887090655783473
3000,1.0,clustered,2,0.0195327620905835
3000,1.0,distinct,2,0.04495253847012
3500,0.8,clustered,2,0.1754049494254847
3500,0.8,distinct,2,0.1934587340345341
3500,0.85,clustered,2,0.1834843579005757
3500,0.85,distinct,2,0.2216198676228636
3500,0.9,clustered,2,0.1749212811751196
3500,0.9,distinct,2,0.2298198067125476
3500,0.95,clustered,2,0.1322075394716085
3500,0.95,distinct,2,0.1881115816914425
3500,1.0,clustered,2,0.0184978534041098
3500,1.0,distinct,2,0.0445590443785141
4000,0.8,clustered,2,0.1762291507457817
4000,0.8,distinct,2,0.193523998511768
4000,0.85,clustered,2,0.1815768414992786
4000,0.85,distinct,2,0.2214913901212975
4000,0.9,clustered,2,0.1730783989566738
4000,0.9,distinct,2,0.2285004302236383
4000,0.95,clustered,2,0.1333609670921193
4000,0.95,distinct,2,0.1883004219174471
4000,1.0,clustered,2,0.0202446763023177
4000,1.0,distinct,2,0.0440241481761669
