Method,Modality_1,Modality_2,Modality_3
hss,0.017488453714284466,0.020036172278487262,0.0014967349087025839
cca,0.01360027745970886,0.017317797001415714,0.0015134314950155903
wasserstein,0.03936411140068661,0.08203948670983668,0.01561832259628997
