Method,Modality_1,Modality_2,Modality_3
hss,0.015015884603771311,0.018261356066646566,0.0017729411005312874
cca,0.014249681988903258,0.018831127135221726,0.0017707490592430671
wasserstein,0.03721951923131088,0.08415122682086106,0.017076580475334762
