Method,Modality_1,Modality_2,Modality_3
hss,0.018028681542031598,0.023314308653890822,0.0024182174733487233
cca,0.016442642058656698,0.023127575243625992,0.0024724549831005777
wasserstein,0.03927698986375443,0.08396290536475788,0.019401625659018828
