Method,Modality_1,Modality_2,Modality_3
hss,0.013937094341764345,0.017545562913267275,0.0015489858919135874
cca,0.016079861561600253,0.019771299391406875,0.0015522753063196553
wasserstein,0.036203103385515634,0.08101267977260374,0.016904664268520594
