Method,Modality_1,Modality_2,Modality_3
hss,0.01635935518667896,0.019734311140761768,0.0018901948260491908
cca,0.014884960884960243,0.01909982653927094,0.0019069179305981354
wasserstein,0.037878931410926145,0.08087845478273463,0.017499337255172637
