3000,3500,4000,4500,5000
"[np.float64(0.014823729109826538), np.float64(0.01954664725723575), np.float64(0.0016616175802309338)]","[np.float64(0.015397493773557282), np.float64(0.020197313330301964), np.float64(0.0016190047831264893)]","[np.float64(0.013868537300178438), np.float64(0.018340583724048946), np.float64(0.0013054010505815859)]","[np.float64(0.013898160608882373), np.float64(0.018728137352332863), np.float64(0.0013678048759872138)]","[np.float64(0.015282536672664517), np.float64(0.018624461907456556), np.float64(0.0014739097019526276)]"
"[np.float64(0.05177150479064085), np.float64(0.06469640944446836), np.float64(0.027788737352615077)]","[np.float64(0.0531041430377945), np.float64(0.06148829723168335), np.float64(0.025525564753266224)]","[np.float64(0.05025748250049931), np.float64(0.06075144938121079), np.float64(0.024613057548307962)]","[np.float64(0.04836595551343751), np.float64(0.062075316128144375), np.float64(0.025722699778082506)]","[np.float64(0.04507245624805691), np.float64(0.059056754935043344), np.float64(0.026972056477787)]"
"[np.float64(0.038767397360639305), np.float64(0.045386290281715154), np.float64(0.0016518350186348232)]","[np.float64(0.038800263835296486), np.float64(0.045392703412217135), np.float64(0.0016029411296382163)]","[np.float64(0.03811301630739682), np.float64(0.04390800938760904), np.float64(0.0012941089265442248)]","[np.float64(0.03918175945607177), np.float64(0.043572888688122265), np.float64(0.0014136010949509714)]","[np.float64(0.038935355565500276), np.float64(0.044669665965458086), np.float64(0.0014810953265484337)]"
