Metric,Modality_1,Modality_2,Modality_3
n,3500.0,3500.0,3500.0
clustered,0.015994834748572474,0.019376093857821297,0.001358774384077033
same_cluster,0.04910901945891035,0.06177933099310194,0.024486700734279197
distinct_clusters,0.03821978505677188,0.04695933008465596,0.0014042148678490957
