Metric,Modality_1,Modality_2,Modality_3
n,2500.0,2500.0,2500.0
clustered,0.01586302417604444,0.02093345630130183,0.0017208103909708671
same_cluster,0.051624223667490296,0.06477998137082706,0.02594614175540665
distinct_clusters,0.03814995634914361,0.04514014711239559,0.0017261997789824674
