rho,Method,Modality,Error
0.8,clustered,1,0.014853464592181953
0.8,clustered,2,0.01888572943252726
0.8,clustered,3,0.0016075543673700983
0.8,distinct,1,0.03744461172473253
0.8,distinct,2,0.044924815171917286
0.8,distinct,3,0.0016176682000628585
0.8,ajive,1,0.2868941273948536
0.8,ajive,2,0.36742965888023454
0.8,ajive,3,0.15355807156260065
0.8,mcca,1,0.2915243616764
0.8,mcca,2,0.3719375797791659
0.8,mcca,3,0.15355898384278183
0.8,gcca,1,0.28689279595838285
0.8,gcca,2,0.3674294149448267
0.8,gcca,3,0.15355768265606337
0.8,disco,1,0.28689467794003964
0.8,disco,2,0.3674324120743057
0.8,disco,3,0.153558062290578
0.8,mfa,1,0.23631293069817758
0.8,mfa,2,0.29897959838265176
0.8,mfa,3,0.15402551000028308
0.8,hpca,1,0.2871832009370111
0.8,hpca,2,0.3709483980403563
0.8,hpca,3,0.1539693172157575
