rho,Method,Modality,Error
0.8,clustered,1,0.014201041168679897
0.8,clustered,2,0.017910191610577976
0.8,clustered,3,0.001578462413405358
0.8,distinct,1,0.03835715280344207
0.8,distinct,2,0.04313972239786061
0.8,distinct,3,0.0015979769485853106
0.8,ajive,1,0.2859170287384078
0.8,ajive,2,0.3638563954723179
0.8,ajive,3,0.15426523578021975
0.8,mcca,1,0.29056465886350186
0.8,mcca,2,0.3684284609260977
0.8,mcca,3,0.15426431516440597
0.8,gcca,1,0.28591335209316326
0.8,gcca,2,0.36385570928262895
0.8,gcca,3,0.15426440219262377
0.8,disco,1,0.28591538403795336
0.8,disco,2,0.36385749964614356
0.8,disco,3,0.1542651147872933
0.8,mfa,1,0.24471752635300328
0.8,mfa,2,0.3042090221877405
0.8,mfa,3,0.15490633011747565
0.8,hpca,1,0.28605445238148025
0.8,hpca,2,0.3683708328784382
0.8,hpca,3,0.15484682091780447
