rho,Method,Modality,Error
0.9,clustered,1,0.016023116669910253
0.9,clustered,2,0.021004946151790535
0.9,clustered,3,0.0019547274855025837
0.9,distinct,1,0.03934563918914988
0.9,distinct,2,0.04698970985416686
0.9,distinct,3,0.0019567055674464986
0.9,ajive,1,0.2882166818990078
0.9,ajive,2,0.3668212627294108
0.9,ajive,3,0.15559286854035217
0.9,mcca,1,0.2928477676633321
0.9,mcca,2,0.37128499731099107
0.9,mcca,3,0.15559249827075686
0.9,gcca,1,0.2882143406157524
0.9,gcca,2,0.3668208901870257
0.9,gcca,3,0.15559231065073462
0.9,disco,1,0.2882162284692014
0.9,disco,2,0.36682384331457546
0.9,disco,3,0.15559326365066714
0.9,mfa,1,0.24879989243478898
0.9,mfa,2,0.30159554627244906
0.9,mfa,3,0.15616679658144322
0.9,hpca,1,0.288827216618035
0.9,hpca,2,0.37149396724860945
0.9,hpca,3,0.15609200493829492
