rho,Method,Modality,Error
0.85,clustered,1,0.015256650090860083
0.85,clustered,2,0.016861377255761215
0.85,clustered,3,0.0016060208042429519
0.85,distinct,1,0.03717211801575832
0.85,distinct,2,0.043010822375436075
0.85,distinct,3,0.0016084284017627065
0.85,ajive,1,0.2864623987295476
0.85,ajive,2,0.3640724227991743
0.85,ajive,3,0.15394977826236353
0.85,mcca,1,0.2910524591260255
0.85,mcca,2,0.3685625043053608
0.85,mcca,3,0.15394947777976087
0.85,gcca,1,0.2864612672600321
0.85,gcca,2,0.3640722302372843
0.85,gcca,3,0.1539494756148542
0.85,disco,1,0.2864622506307669
0.85,disco,2,0.36407264949059787
0.85,disco,3,0.15395016223786756
0.85,mfa,1,0.23485063115202703
0.85,mfa,2,0.2920567365998542
0.85,mfa,3,0.15459272891093423
0.85,hpca,1,0.2869809983316916
0.85,hpca,2,0.3677984065312738
0.85,hpca,3,0.1545600501452459
