rho,Method,Modality,Error
0.95,clustered,1,0.013731206499712925
0.95,clustered,2,0.01814033971642587
0.95,clustered,3,0.001832115427189789
0.95,distinct,1,0.0380844383381515
0.95,distinct,2,0.0449937598849834
0.95,distinct,3,0.0017957853449923507
0.95,ajive,1,0.2860057701772659
0.95,ajive,2,0.364276475261831
0.95,ajive,3,0.15423076851398898
0.95,mcca,1,0.29057074403862265
0.95,mcca,2,0.368962262592264
0.95,mcca,3,0.15423025411445765
0.95,gcca,1,0.286003804220447
0.95,gcca,2,0.3642762255858897
0.95,gcca,3,0.15423039113308834
0.95,disco,1,0.2860068380770366
0.95,disco,2,0.36427739247819696
0.95,disco,3,0.1542308275138672
0.95,mfa,1,0.2456759735372107
0.95,mfa,2,0.2973203496690902
0.95,mfa,3,0.1547699783080182
0.95,hpca,1,0.28624767821040803
0.95,hpca,2,0.3677431698346692
0.95,hpca,3,0.15468241688703338
