rho,Method,Modality,Error
1.0,clustered,1,0.014758151831558687
1.0,clustered,2,0.017663220705631574
1.0,clustered,3,0.0015117924007154522
1.0,distinct,1,0.037246209575087307
1.0,distinct,2,0.044701239084462455
1.0,distinct,3,0.0015084766314213379
1.0,ajive,1,0.28577682070039284
1.0,ajive,2,0.36546011913931176
1.0,ajive,3,0.15411466993483022
1.0,mcca,1,0.29051926090207986
1.0,mcca,2,0.36992554796892585
1.0,mcca,3,0.1541138844712508
1.0,gcca,1,0.2857759560302961
1.0,gcca,2,0.36545994200739285
1.0,gcca,3,0.15411444123471055
1.0,disco,1,0.2857755829628829
1.0,disco,2,0.36546311714336566
1.0,disco,3,0.1541146634960947
1.0,mfa,1,0.23713098947248418
1.0,mfa,2,0.29179804078943533
1.0,mfa,3,0.15456740139388528
1.0,hpca,1,0.2861936773520896
1.0,hpca,2,0.3685827960948679
1.0,hpca,3,0.1545297964744561
