rho,Method,Modality,Error
0.9,clustered,1,0.014832651198015946
0.9,clustered,2,0.017551013161075938
0.9,clustered,3,0.0014632240151570442
0.9,distinct,1,0.03860008134873584
0.9,distinct,2,0.04479977188542507
0.9,distinct,3,0.0014355217153782433
0.9,ajive,1,0.2855194427297799
0.9,ajive,2,0.36426287881234815
0.9,ajive,3,0.15294918923579265
0.9,mcca,1,0.2899020808068178
0.9,mcca,2,0.36879337947019
0.9,mcca,3,0.15294835286450154
0.9,gcca,1,0.28551775437064564
0.9,gcca,2,0.36426262242606033
0.9,gcca,3,0.15294882807850457
0.9,disco,1,0.28552520153140276
0.9,disco,2,0.36426580464943686
0.9,disco,3,0.1529492155333797
0.9,mfa,1,0.23377912485432265
0.9,mfa,2,0.292240675927815
0.9,mfa,3,0.15352125498830366
0.9,hpca,1,0.2860361809459918
0.9,hpca,2,0.36815823614255583
0.9,hpca,3,0.15348947573165858
