rho,Method,Modality,Error
0.95,clustered,1,0.015205150254576779
0.95,clustered,2,0.017982934574851523
0.95,clustered,3,0.0016760832036780292
0.95,distinct,1,0.039246198833164506
0.95,distinct,2,0.0432509889873803
0.95,distinct,3,0.0016654471443842635
0.95,ajive,1,0.28688292729329334
0.95,ajive,2,0.3671725304500216
0.95,ajive,3,0.1543746063780836
0.95,mcca,1,0.291389076129963
0.95,mcca,2,0.3719174907720735
0.95,mcca,3,0.15437421948464033
0.95,gcca,1,0.2868820171552505
0.95,gcca,2,0.3671723920941893
0.95,gcca,3,0.1543743399226976
0.95,disco,1,0.28688536171279305
0.95,disco,2,0.36717680406338804
0.95,disco,3,0.1543747408275538
0.95,mfa,1,0.23470249601399168
0.95,mfa,2,0.2932142788626513
0.95,mfa,3,0.15483352787562027
0.95,hpca,1,0.2872866627287843
0.95,hpca,2,0.3702691279673361
0.95,hpca,3,0.15480174256574544
