rho,Method,Modality,Error
0.9,clustered,1,0.01641849266461038
0.9,clustered,2,0.01990319562943977
0.9,clustered,3,0.0015121649318944501
0.9,distinct,1,0.03943455472138819
0.9,distinct,2,0.04350724550235043
0.9,distinct,3,0.0015347809558713225
0.9,ajive,1,0.28809991973859844
0.9,ajive,2,0.36713890011357064
0.9,ajive,3,0.15343550553403823
0.9,mcca,1,0.29280646316297027
0.9,mcca,2,0.3717084111822645
0.9,mcca,3,0.15343557803937438
0.9,gcca,1,0.2880987313214857
0.9,gcca,2,0.3671387622598534
0.9,gcca,3,0.15343524887763837
0.9,disco,1,0.2881080869487678
0.9,disco,2,0.36713783427784746
0.9,disco,3,0.15343520943362116
0.9,mfa,1,0.23777454721342467
0.9,mfa,2,0.2938147749907635
0.9,mfa,3,0.15391470887730815
0.9,hpca,1,0.28850501096463055
0.9,hpca,2,0.37054946107228337
0.9,hpca,3,0.15388803564781964
