rho,Method,Modality,Error
0.9,clustered,1,0.01665826381797174
0.9,clustered,2,0.02098211147152353
0.9,clustered,3,0.001917405953536224
0.9,distinct,1,0.041011750996966745
0.9,distinct,2,0.04484780481456612
0.9,distinct,3,0.0019110512797606677
0.9,ajive,1,0.2885253910979714
0.9,ajive,2,0.36749559823489686
0.9,ajive,3,0.1538743062803439
0.9,mcca,1,0.2929158838185392
0.9,mcca,2,0.3719646854372602
0.9,mcca,3,0.1538725857485995
0.9,gcca,1,0.2885224002266978
0.9,gcca,2,0.3674950634604405
0.9,gcca,3,0.15387344530193645
0.9,disco,1,0.288524965702259
0.9,disco,2,0.36749270372553955
0.9,disco,3,0.15387430844374086
0.9,mfa,1,0.2634859499827033
0.9,mfa,2,0.3047488835950936
0.9,mfa,3,0.15460052019581885
0.9,hpca,1,0.28874113304949556
0.9,hpca,2,0.3708473806561188
0.9,hpca,3,0.15453425351973177
