rho,Method,Modality,Error
0.95,clustered,1,0.017493643594792583
0.95,clustered,2,0.01914101272336458
0.95,clustered,3,0.0015280951760141622
0.95,distinct,1,0.0370561974840773
0.95,distinct,2,0.04375079411918338
0.95,distinct,3,0.001499432182430175
0.95,ajive,1,0.2861241392502804
0.95,ajive,2,0.36510177805843236
0.95,ajive,3,0.15414673430814618
0.95,mcca,1,0.2903739749129811
0.95,mcca,2,0.36928342057258273
0.95,mcca,3,0.15414808534572053
0.95,gcca,1,0.2861214697090739
0.95,gcca,2,0.36510140006862846
0.95,gcca,3,0.1541462049378424
0.95,disco,1,0.286123713695176
0.95,disco,2,0.36510195787818966
0.95,disco,3,0.1541467835959053
0.95,mfa,1,0.24375365998750154
0.95,mfa,2,0.305622386294572
0.95,mfa,3,0.1547567987940363
0.95,hpca,1,0.2862680921327651
0.95,hpca,2,0.3699853114181283
0.95,hpca,3,0.15464128991523965
