rho,Method,Modality,Error
0.85,clustered,1,0.014810118864451865
0.85,clustered,2,0.01657238859145486
0.85,clustered,3,0.0016384930711267145
0.85,distinct,1,0.03779145262695759
0.85,distinct,2,0.04198495411790268
0.85,distinct,3,0.0016511671821083105
0.85,ajive,1,0.28592996805755183
0.85,ajive,2,0.3641391181234511
0.85,ajive,3,0.15462255459500887
0.85,mcca,1,0.29054508450556693
0.85,mcca,2,0.36863108552095536
0.85,mcca,3,0.154622009405847
0.85,gcca,1,0.28592916894997
0.85,gcca,2,0.3641389703450132
0.85,gcca,3,0.15462229789184684
0.85,disco,1,0.2859320838542786
0.85,disco,2,0.36414083991062957
0.85,disco,3,0.15462272452606435
0.85,mfa,1,0.23011926230194069
0.85,mfa,2,0.29131333724001013
0.85,mfa,3,0.1549791823809562
0.85,hpca,1,0.2862869873080727
0.85,hpca,2,0.36809574576897347
0.85,hpca,3,0.1549768093855976
