rho,Method,Modality,Error
0.85,clustered,1,0.015368068420449214
0.85,clustered,2,0.019061144611416916
0.85,clustered,3,0.0015192535273633554
0.85,distinct,1,0.03754877211594587
0.85,distinct,2,0.0450719320287738
0.85,distinct,3,0.0015604797509548895
0.85,ajive,1,0.28527786449606357
0.85,ajive,2,0.36486118649730054
0.85,ajive,3,0.15362842879794236
0.85,mcca,1,0.28962767110110843
0.85,mcca,2,0.3694451654381678
0.85,mcca,3,0.15363100255053447
0.85,gcca,1,0.285275691114475
0.85,gcca,2,0.3648608654278248
0.85,gcca,3,0.15362807953917232
0.85,disco,1,0.2852758580231465
0.85,disco,2,0.3648570630054119
0.85,disco,3,0.15362828624810804
0.85,mfa,1,0.24170591413806303
0.85,mfa,2,0.30294873417394047
0.85,mfa,3,0.1543549875809415
0.85,hpca,1,0.2855679773330676
0.85,hpca,2,0.36888981897309353
0.85,hpca,3,0.15424254195271456
