rho,Method,Modality,Error
0.95,clustered,1,0.015331585550554703
0.95,clustered,2,0.018798289098740196
0.95,clustered,3,0.001902856346929352
0.95,distinct,1,0.04060126031144713
0.95,distinct,2,0.04296947292813635
0.95,distinct,3,0.0018345297731267337
0.95,ajive,1,0.28896917294987
0.95,ajive,2,0.36462445146218403
0.95,ajive,3,0.15261030209440965
0.95,mcca,1,0.29372994873978703
0.95,mcca,2,0.3693151659255779
0.95,mcca,3,0.15261128163427137
0.95,gcca,1,0.28896536233868303
0.95,gcca,2,0.364623910906745
0.95,gcca,3,0.1526094905166928
0.95,disco,1,0.28897213675644723
0.95,disco,2,0.3646220047088534
0.95,disco,3,0.15261027300731386
0.95,mfa,1,0.2791991822554244
0.95,mfa,2,0.3113892702650961
0.95,mfa,3,0.15373429802382602
0.95,hpca,1,0.2898056039671066
0.95,hpca,2,0.36922559793834914
0.95,hpca,3,0.15362999635853572
