rho,Method,Modality,Error
0.8,clustered,1,0.014085051518628102
0.8,clustered,2,0.02012290654655705
0.8,clustered,3,0.002030259497784361
0.8,distinct,1,0.03839672288800423
0.8,distinct,2,0.04390946421183063
0.8,distinct,3,0.002031300900914619
0.8,ajive,1,0.2886493366665903
0.8,ajive,2,0.3644447647921646
0.8,ajive,3,0.15377328187355074
0.8,mcca,1,0.29330066452301295
0.8,mcca,2,0.36898061714480224
0.8,mcca,3,0.15377380449278766
0.8,gcca,1,0.28864840738778347
0.8,gcca,2,0.3644446267564045
0.8,gcca,3,0.15377309315246304
0.8,disco,1,0.28864932320450104
0.8,disco,2,0.3644423023754625
0.8,disco,3,0.15377339264664971
0.8,mfa,1,0.22888400615821697
0.8,mfa,2,0.29513985754589184
0.8,mfa,3,0.15425863339670443
0.8,hpca,1,0.28887631428025323
0.8,hpca,2,0.36788273093512774
0.8,hpca,3,0.1542086575302056
