rho,Method,Modality,Error
0.85,clustered,1,0.015471619237043184
0.85,clustered,2,0.018534326291132382
0.85,clustered,3,0.002168542886682686
0.85,distinct,1,0.03975841016930484
0.85,distinct,2,0.047707773601873546
0.85,distinct,3,0.002194777348648126
0.85,ajive,1,0.28754841564461314
0.85,ajive,2,0.36569859329440163
0.85,ajive,3,0.15313453525304951
0.85,mcca,1,0.29231356277322956
0.85,mcca,2,0.37025196760363105
0.85,mcca,3,0.15313475669735582
0.85,gcca,1,0.2875459411745316
0.85,gcca,2,0.3656982217509595
0.85,gcca,3,0.15313404919483867
0.85,disco,1,0.28754991706606964
0.85,disco,2,0.3657012039521567
0.85,disco,3,0.1531348422818211
0.85,mfa,1,0.24515414532406732
0.85,mfa,2,0.30091643462140494
0.85,mfa,3,0.15372762688680047
0.85,hpca,1,0.2881352961764864
0.85,hpca,2,0.36981453407400744
0.85,hpca,3,0.15371227249054467
