rho,Method,Modality,Error
0.8,clustered,1,0.01368925859697639
0.8,clustered,2,0.017195907754084246
0.8,clustered,3,0.0016011432525557217
0.8,distinct,1,0.041127327356971694
0.8,distinct,2,0.04293122656140025
0.8,distinct,3,0.001583567979405188
0.8,ajive,1,0.2898984839251749
0.8,ajive,2,0.36453280754406653
0.8,ajive,3,0.1554719464354885
0.8,mcca,1,0.29488292123230053
0.8,mcca,2,0.36948190914526813
0.8,mcca,3,0.15547156836375323
0.8,gcca,1,0.28989723237283677
0.8,gcca,2,0.36453260390411946
0.8,gcca,3,0.15547163722730228
0.8,disco,1,0.28989992628856237
0.8,disco,2,0.3645344533262672
0.8,disco,3,0.15547199265998632
0.8,mfa,1,0.24045892921286346
0.8,mfa,2,0.30334020437318987
0.8,mfa,3,0.15591905515604404
0.8,hpca,1,0.2902318960515743
0.8,hpca,2,0.36821891047138766
0.8,hpca,3,0.15588350583759022
