rho,Method,Modality,Error
1.0,clustered,1,0.013421677461504735
1.0,clustered,2,0.017105577636098997
1.0,clustered,3,0.0017620748684072413
1.0,distinct,1,0.03833463309942133
1.0,distinct,2,0.04448396905675542
1.0,distinct,3,0.0017789863805991594
1.0,ajive,1,0.285759383170866
1.0,ajive,2,0.3649145968368668
1.0,ajive,3,0.15459573028823656
1.0,mcca,1,0.29019716419489167
1.0,mcca,2,0.3696071892172004
1.0,mcca,3,0.15459648913813762
1.0,gcca,1,0.28575775797379205
1.0,gcca,2,0.36491433632200326
1.0,gcca,3,0.15459525182030934
1.0,disco,1,0.2857577843892191
1.0,disco,2,0.36490934713451056
1.0,disco,3,0.15459559406798049
1.0,mfa,1,0.245532631938125
1.0,mfa,2,0.29903807881645456
1.0,mfa,3,0.15530528645422753
1.0,hpca,1,0.2862611162909249
1.0,hpca,2,0.36861262894384067
1.0,hpca,3,0.15524543214537706
