rho,Method,Modality,Error
1.0,clustered,1,0.014353769743098281
1.0,clustered,2,0.016951969728669986
1.0,clustered,3,0.002016271979833354
1.0,distinct,1,0.039533715819475915
1.0,distinct,2,0.04377804021709306
1.0,distinct,3,0.0020204132109735554
1.0,ajive,1,0.2884513969232835
1.0,ajive,2,0.36637732942787765
1.0,ajive,3,0.1543675165438279
1.0,mcca,1,0.2930609200945192
1.0,mcca,2,0.3711384459233262
1.0,mcca,3,0.15436639283838102
1.0,gcca,1,0.28845018141070405
1.0,gcca,2,0.36637715523191083
1.0,gcca,3,0.1543672301798681
1.0,disco,1,0.2884534828801725
1.0,disco,2,0.3663790885746479
1.0,disco,3,0.15436746278046165
1.0,mfa,1,0.23860906370302512
1.0,mfa,2,0.29809478705814174
1.0,mfa,3,0.1548593791349643
1.0,hpca,1,0.28880670276526776
1.0,hpca,2,0.3699044942358429
1.0,hpca,3,0.15483211600566563
