rho,Method,Modality,Error
0.8,clustered,1,0.016538113162623394
0.8,clustered,2,0.01978828342084561
0.8,clustered,3,0.0016027678187347978
0.8,distinct,1,0.0383373340660242
0.8,distinct,2,0.04498396615661834
0.8,distinct,3,0.001597331209921574
0.8,ajive,1,0.28737511465388843
0.8,ajive,2,0.3649035965051887
0.8,ajive,3,0.15317030772035536
0.8,mcca,1,0.2916898278612415
0.8,mcca,2,0.36927676665704484
0.8,mcca,3,0.15317083098481346
0.8,gcca,1,0.28737282014996607
0.8,gcca,2,0.3649032363865436
0.8,gcca,3,0.15316985257073867
0.8,disco,1,0.28737589967633154
0.8,disco,2,0.3649056061285524
0.8,disco,3,0.153170713519608
0.8,mfa,1,0.24778866005502032
0.8,mfa,2,0.30122640899843345
0.8,mfa,3,0.15363979341379844
0.8,hpca,1,0.28803060643450196
0.8,hpca,2,0.3689662262535187
0.8,hpca,3,0.15353954653799404
