rho,Method,Modality,Error
0.85,clustered,1,0.01734044048256326
0.85,clustered,2,0.020660004371397648
0.85,clustered,3,0.0017391962726588028
0.85,distinct,1,0.03928643826204847
0.85,distinct,2,0.04557305449180612
0.85,distinct,3,0.0017319141908777311
0.85,ajive,1,0.2863358870088746
0.85,ajive,2,0.3664461182296319
0.85,ajive,3,0.1536863081134476
0.85,mcca,1,0.2906121066721618
0.85,mcca,2,0.3709061327254505
0.85,mcca,3,0.15368555673401735
0.85,gcca,1,0.28633273584245555
0.85,gcca,2,0.36644553966744037
0.85,gcca,3,0.15368533258012196
0.85,disco,1,0.2863354278120765
0.85,disco,2,0.3664464641413979
0.85,disco,3,0.1536863877685607
0.85,mfa,1,0.24881495557903116
0.85,mfa,2,0.3048877828954686
0.85,mfa,3,0.154531641986551
0.85,hpca,1,0.2867006295580506
0.85,hpca,2,0.37201251437684424
0.85,hpca,3,0.15451178507834928
