rho,Method,Modality,Error
1.0,clustered,1,0.015245747334974195
1.0,clustered,2,0.020884492550699223
1.0,clustered,3,0.0018219099816668266
1.0,distinct,1,0.038815409263633485
1.0,distinct,2,0.04320935679758323
1.0,distinct,3,0.0018618823726173678
1.0,ajive,1,0.28424145697441777
1.0,ajive,2,0.36517579576349557
1.0,ajive,3,0.1544713495208487
1.0,mcca,1,0.2886667387884884
1.0,mcca,2,0.3698576460230011
1.0,mcca,3,0.15447191100008079
1.0,gcca,1,0.2842372004289625
1.0,gcca,2,0.3651752717440522
1.0,gcca,3,0.154470509505857
1.0,disco,1,0.28423749520114383
1.0,disco,2,0.3651718600847088
1.0,disco,3,0.15447120028983333
1.0,mfa,1,0.2608905298798199
1.0,mfa,2,0.3004287722156253
1.0,mfa,3,0.1550216147223158
1.0,hpca,1,0.2849489933009427
1.0,hpca,2,0.369193178218569
1.0,hpca,3,0.154948664406581
