Modality,rho,n,Method,log_rec_error
3,0.8,3000,ajive,-1.8736764671297457
1,0.8,3000,mcca,-1.2326317031797156
2,0.8,3000,mcca,-0.9890292350809281
3,0.8,3000,mcca,-1.8736705262015871
1,0.8,3000,gcca,-1.2486466662494895
2,0.8,3000,gcca,-1.0012240469540425
3,0.8,3000,gcca,-1.8736789997678924
1,0.8,3000,disco,-1.2486401063932973
2,0.8,3000,disco,-1.001215889966242
3,0.8,3000,disco,-1.8736765275109601
1,0.8,3000,mfa,-1.4425983747537414
2,0.8,3000,mfa,-1.2073799407533572
3,0.8,3000,mfa,-1.87063704093436
1,0.8,3000,hpca,-1.247634936077978
2,0.8,3000,hpca,-0.9916923148884617
3,0.8,3000,hpca,-1.8710019352779237
1,0.8,3500,clustered,-4.291143797687647
2,0.8,3500,clustered,-4.063083844744661
3,0.8,3500,clustered,-6.437037372046146
1,0.8,3500,distinct,-3.1910824792310963
2,0.8,3500,distinct,-3.1481558259588436
3,0.8,3500,distinct,-6.448074763064854
1,0.8,3500,ajive,-1.238224472715753
2,0.8,3500,ajive,-1.0091387246042032
3,0.8,3500,ajive,-1.8612899724134624
1,0.8,3500,mcca,-1.221176878597551
2,0.8,3500,mcca,-0.9956535001571114
3,0.8,3500,mcca,-1.8612924041846188
1,0.8,3500,gcca,-1.2382287899340527
2,0.8,3500,gcca,-1.0091392832370607
3,0.8,3500,gcca,-1.861291961251326
1,0.8,3500,disco,-1.2382194973196086
2,0.8,3500,disco,-1.00913420984325
3,0.8,3500,disco,-1.8612896750962165
1,0.8,3500,mfa,-1.4252059765232918
2,0.8,3500,mfa,-1.192900316616152
3,0.8,3500,mfa,-1.8584182836008074
1,0.8,3500,hpca,-1.2370750339874395
2,0.8,3500,hpca,-0.9990776522641196
3,0.8,3500,hpca,-1.8586463081461773
1,0.8,4000,clustered,-4.262641219965914
2,0.8,4000,clustered,-3.905896483619558
3,0.8,4000,clustered,-6.199591662677344
1,0.8,4000,distinct,-3.259783164488469
2,0.8,4000,distinct,-3.125625396445365
3,0.8,4000,distinct,-6.199078853288393
1,0.8,4000,ajive,-1.2425426955322596
2,0.8,4000,ajive,-1.0093802759376627
3,0.8,4000,ajive,-1.8722759569395515
1,0.8,4000,mcca,-1.226557037324473
2,0.8,4000,mcca,-0.9970111643841236
3,0.8,4000,mcca,-1.872272558310463
1,0.8,4000,gcca,-1.2425459149413651
2,0.8,4000,gcca,-1.0093806546940602
3,0.8,4000,gcca,-1.8722771842086923
1,0.8,4000,disco,-1.242542742170474
2,0.8,4000,disco,-1.0093870325857446
3,0.8,4000,disco,-1.8722752365734532
1,0.8,4000,mfa,-1.4745399270807367
2,0.8,4000,mfa,-1.2203059416131703
3,0.8,4000,mfa,-1.869124647605994
1,0.8,4000,hpca,-1.241756660747563
2,0.8,4000,hpca,-0.9999910575351381
3,0.8,4000,hpca,-1.869448674615703
1,0.95,2000,clustered,-4.177840163491419
2,0.95,2000,clustered,-3.9739894186736398
3,0.95,2000,clustered,-6.264399181205692
1,0.95,2000,distinct,-3.2039561707023783
2,0.95,2000,distinct,-3.1472653473133687
3,0.95,2000,distinct,-6.300967084741246
1,0.95,2000,ajive,-1.2414352645526692
2,0.95,2000,ajive,-1.0088873551843198
3,0.95,2000,ajive,-1.8798676519622146
1,0.95,2000,mcca,-1.2250944754627973
2,0.95,2000,mcca,-0.996104891285062
3,0.95,2000,mcca,-1.8798612334131086
1,0.95,2000,gcca,-1.2414484515520763
2,0.95,2000,gcca,-1.0088888376845677
3,0.95,2000,gcca,-1.8798729699509982
1,0.95,2000,disco,-1.2414250081251483
2,0.95,2000,disco,-1.0088940655448841
3,0.95,2000,disco,-1.8798678425594297
1,0.95,2000,mfa,-1.2758298369827918
2,0.95,2000,mfa,-1.1667114766142312
3,0.95,2000,mfa,-1.8725295041850962
1,0.95,2000,hpca,-1.2385449119219032
2,0.95,2000,hpca,-0.9963474452294085
3,0.95,2000,hpca,-1.8732081885423892
1,0.95,2500,clustered,-4.045917687188891
2,0.95,2500,clustered,-3.9559219830005286
3,0.95,2500,clustered,-6.48373330221028
1,0.95,2500,distinct,-3.2953196677043435
2,0.95,2500,distinct,-3.129245515047628
3,0.95,2500,distinct,-6.502668787586836
1,0.95,2500,ajive,-1.2513295090135192
2,0.95,2500,ajive,-1.0075791202737021
3,0.95,2500,ajive,-1.8698503100307529
1,0.95,2500,mcca,-1.2365856181156818
2,0.95,2500,mcca,-0.996190852329654
3,0.95,2500,mcca,-1.8698415454490065
1,0.95,2500,gcca,-1.2513388390674847
2,0.95,2500,gcca,-1.0075801555740547
3,0.95,2500,gcca,-1.8698537442339818
1,0.95,2500,disco,-1.2513309963239643
2,0.95,2500,disco,-1.0075786277542902
3,0.95,2500,disco,-1.8698499902850796
1,0.95,2500,mfa,-1.4115971538835699
2,0.95,2500,mfa,-1.1854049707909695
3,0.95,2500,mfa,-1.8659004343338037
1,0.95,2500,hpca,-1.2508265221537156
2,0.95,2500,hpca,-0.9942919730018115
3,0.95,2500,hpca,-1.8666471027094558
1,0.95,3000,clustered,-4.288084189813584
2,0.95,3000,clustered,-4.009617106993888
3,0.95,3000,clustered,-6.302284008607085
1,0.95,3000,distinct,-3.2679495228530695
2,0.95,3000,distinct,-3.101231468049874
3,0.95,3000,distinct,-6.322312834623472
1,0.95,3000,ajive,-1.2517432929208203
2,0.95,3000,ajive,-1.0098421522329464
3,0.95,3000,ajive,-1.8693053013504577
1,0.95,3000,mcca,-1.2359082072476697
2,0.95,3000,mcca,-0.9970609095691398
3,0.95,3000,mcca,-1.8693086366148417
1,0.95,3000,gcca,-1.2517501667806537
2,0.95,3000,gcca,-1.0098428376355015
3,0.95,3000,gcca,-1.8693077482121698
1,0.95,3000,disco,-1.2517395590878408
2,0.95,3000,disco,-1.0098396343234095
3,0.95,3000,disco,-1.8693049188076771
1,0.95,3000,mfa,-1.4037417920378825
2,0.95,3000,mfa,-1.2129451030558778
3,0.95,3000,mfa,-1.865815275213722
1,0.95,3000,hpca,-1.2508978352019258
2,0.95,3000,hpca,-1.0003704925223695
3,0.95,3000,hpca,-1.8663811872873162
1,0.95,3500,clustered,-4.131586666673695
2,0.95,3500,clustered,-3.973778591018159
3,0.95,3500,clustered,-6.2598864668710235
1,0.95,3500,distinct,-3.2452038543044903
2,0.95,3500,distinct,-3.1649906040971154
3,0.95,3500,distinct,-6.2567694953820165
1,0.95,3500,ajive,-1.2459614629347733
2,0.95,3500,ajive,-1.0084896862088484
3,0.95,3500,ajive,-1.8703844225017054
1,0.95,3500,mcca,-1.230222595871313
2,0.95,3500,mcca,-0.9958697960172664
3,0.95,3500,mcca,-1.870386795665209
1,0.95,3500,gcca,-1.2459656661213911
2,0.95,3500,gcca,-1.0084902306596475
3,0.95,3500,gcca,-1.8703865191193598
1,0.95,3500,disco,-1.2459640361323834
2,0.95,3500,disco,-1.008482009621093
3,0.95,3500,disco,-1.8703844126861515
1,0.95,3500,mfa,-1.4323954464008493
2,0.95,3500,mfa,-1.2115664469389693
3,0.95,3500,mfa,-1.8665574623632424
1,0.95,3500,hpca,-1.2439759956795482
2,0.95,3500,hpca,-0.9985682188056041
3,0.95,3500,hpca,-1.866969613876252
1,0.95,4000,clustered,-4.186121075982746
2,0.95,4000,clustered,-4.018332049972214
3,0.95,4000,clustered,-6.3912956339551945
1,0.95,4000,distinct,-3.237900684458418
2,0.95,4000,distinct,-3.1407351791054507
3,0.95,4000,distinct,-6.397661636418513
1,0.95,4000,ajive,-1.2486810652827374
2,0.95,4000,ajive,-1.0019234311767131
3,0.95,4000,ajive,-1.8683731213807422
1,0.95,4000,mcca,-1.2330958734667314
2,0.95,4000,mcca,-0.9890832483098289
3,0.95,4000,mcca,-1.8683756275826182
1,0.95,4000,gcca,-1.2486842377945875
2,0.95,4000,gcca,-1.0019238079910084
3,0.95,4000,gcca,-1.8683748474134245
1,0.95,4000,disco,-1.2486725795593316
2,0.95,4000,disco,-1.0019117919931104
3,0.95,4000,disco,-1.8683722504511586
1,0.95,4000,mfa,-1.4494365412690908
2,0.95,4000,mfa,-1.2268516100781954
3,0.95,4000,mfa,-1.8654047529345796
1,0.95,4000,hpca,-1.2472747368771648
2,0.95,4000,hpca,-0.9935251648666241
3,0.95,4000,hpca,-1.8656100610052084
1,0.9,2000,clustered,-4.094848860280692
2,0.9,2000,clustered,-3.864085038965409
3,0.9,2000,clustered,-6.256782072321401
1,0.9,2000,distinct,-3.1938966436604233
2,0.9,2000,distinct,-3.1044806367238733
3,0.9,2000,distinct,-6.260101780091039
1,0.9,2000,ajive,-1.2429721861684984
2,0.9,2000,ajive,-1.001043937993095
3,0.9,2000,ajive,-1.8716192028201344
1,0.9,2000,mcca,-1.2278697971256802
2,0.9,2000,mcca,-0.9889563608355503
3,0.9,2000,mcca,-1.8716303842928899
1,0.9,2000,gcca,-1.2429825522813873
2,0.9,2000,gcca,-1.0010453931801722
3,0.9,2000,gcca,-1.871624798171542
1,0.9,2000,disco,-1.242973660548359
2,0.9,2000,disco,-1.001051814334391
3,0.9,2000,disco,-1.8716191887606273
1,0.9,2000,mfa,-1.3337552331710758
2,0.9,2000,mfa,-1.1882671739741648
3,0.9,2000,mfa,-1.8669107780491025
1,0.9,2000,hpca,-1.242224725671331
2,0.9,2000,hpca,-0.991964673906302
3,0.9,2000,hpca,-1.8673395015880665
1,0.9,2500,clustered,-4.133722807580532
2,0.9,2500,clustered,-3.8629973379541513
3,0.9,2500,clustered,-6.237504488865858
1,0.9,2500,distinct,-3.2353701313742014
2,0.9,2500,distinct,-3.057826640515827
3,0.9,2500,distinct,-6.236493052859794
1,0.9,2500,ajive,-1.2440427140280037
2,0.9,2500,ajive,-1.0028805720972271
3,0.9,2500,ajive,-1.8605125002910428
1,0.9,2500,mcca,-1.2281023692743338
2,0.9,2500,mcca,-0.9907853244571023
3,0.9,2500,mcca,-1.8605148800275906
1,0.9,2500,gcca,-1.2440508374050043
2,0.9,2500,gcca,-1.002881587694228
3,0.9,2500,gcca,-1.8605160858706578
1,0.9,2500,disco,-1.244044287254647
2,0.9,2500,disco,-1.0028735371285662
3,0.9,2500,disco,-1.8605099609085052
1,0.9,2500,mfa,-1.3911063504532637
2,0.9,2500,mfa,-1.198668409958533
3,0.9,2500,mfa,-1.856830634073867
1,0.9,2500,hpca,-1.241926636036653
2,0.9,2500,hpca,-0.9902226538562848
3,0.9,2500,hpca,-1.8573096703361889
1,0.9,3000,clustered,-4.2109243661860845
2,0.9,3000,clustered,-4.042643600760738
3,0.9,3000,clustered,-6.527113048257817
1,0.9,3000,distinct,-3.2545008950333707
2,0.9,3000,distinct,-3.105552231417353
3,0.9,3000,distinct,-6.546226931120708
1,0.9,3000,ajive,-1.2534451515751128
2,0.9,3000,ajive,-1.0098794774629658
3,0.9,3000,ajive,-1.877649509244043
1,0.9,3000,mcca,-1.2382120654093043
2,0.9,3000,mcca,-0.9975187390058672
3,0.9,3000,mcca,-1.8776549775540226
1,0.9,3000,gcca,-1.2534510648821369
2,0.9,3000,gcca,-1.0098801813128306
3,0.9,3000,gcca,-1.8776518705361578
1,0.9,3000,disco,-1.253424982218195
2,0.9,3000,disco,-1.0098714452820643
3,0.9,3000,disco,-1.877649337307304
1,0.9,3000,mfa,-1.4533785202678027
2,0.9,3000,mfa,-1.2301775835775308
3,0.9,3000,mfa,-1.8739162525616528
1,0.9,3000,hpca,-1.2516369693594283
2,0.9,3000,hpca,-0.9992424437143924
3,0.9,3000,hpca,-1.8741232763141067
1,0.9,3500,clustered,-4.233259005551359
2,0.9,3500,clustered,-4.04352613740633
3,0.9,3500,clustered,-6.4121062923326395
1,0.9,3500,distinct,-3.224692668334267
2,0.9,3500,distinct,-3.109844135319529
3,0.9,3500,distinct,-6.402819234420101
1,0.9,3500,ajive,-1.2532577225985884
2,0.9,3500,ajive,-1.0057725295951427
3,0.9,3500,ajive,-1.86435149331036
1,0.9,3500,mcca,-1.2380672497986347
2,0.9,3500,mcca,-0.9936416163696725
3,0.9,3500,mcca,-1.8643479380615928
1,0.9,3500,gcca,-1.2532617851107668
2,0.9,3500,gcca,-1.0057730114633576
3,0.9,3500,gcca,-1.864353731360168
1,0.9,3500,disco,-1.253261120703653
2,0.9,3500,disco,-1.0057738291260891
3,0.9,3500,disco,-1.864350745171234
1,0.9,3500,mfa,-1.4415785409796638
2,0.9,3500,mfa,-1.2296372123514148
3,0.9,3500,mfa,-1.8611023504872217
1,0.9,3500,hpca,-1.2525707941631172
2,0.9,3500,hpca,-0.9948417159784604
3,0.9,3500,hpca,-1.861013695225973
1,0.9,4000,clustered,-4.109346977916423
2,0.9,4000,clustered,-3.916874975750029
3,0.9,4000,clustered,-6.494212925233057
1,0.9,4000,distinct,-3.233112823653061
2,0.9,4000,distinct,-3.1348277914851974
3,0.9,4000,distinct,-6.479367607883667
1,0.9,4000,ajive,-1.2444479154803831
2,0.9,4000,ajive,-1.0020150281070475
3,0.9,4000,ajive,-1.8744749596339458
1,0.9,4000,mcca,-1.2282434234945758
2,0.9,4000,mcca,-0.9896455729807928
3,0.9,4000,mcca,-1.8744744870880463
1,0.9,4000,gcca,-1.2444520405060508
2,0.9,4000,gcca,-1.0020154035882154
3,0.9,4000,gcca,-1.8744766323668225
1,0.9,4000,disco,-1.2444195673488918
2,0.9,4000,disco,-1.0020179311970494
3,0.9,4000,disco,-1.8744768894395782
1,0.9,4000,mfa,-1.4364323348803538
2,0.9,4000,mfa,-1.2248057272258042
3,0.9,4000,mfa,-1.8713566684527168
1,0.9,4000,hpca,-1.2430428241566407
2,0.9,4000,hpca,-0.9927683449852781
3,0.9,4000,hpca,-1.8715299822390925
1,1.0,2000,clustered,-4.183454678098698
2,1.0,2000,clustered,-3.8687483786372945
3,1.0,2000,clustered,-6.307869887694871
1,1.0,2000,distinct,-3.248937965224563
2,1.0,2000,distinct,-3.1416982146482013
3,1.0,2000,distinct,-6.28616727472354
1,1.0,2000,ajive,-1.2579312014226034
2,1.0,2000,ajive,-1.0073764091184647
3,1.0,2000,ajive,-1.8677466398349654
1,1.0,2000,mcca,-1.2424824092431948
2,1.0,2000,mcca,-0.9946370878538494
3,1.0,2000,mcca,-1.8677430049977395
1,1.0,2000,gcca,-1.2579461766389985
2,1.0,2000,gcca,-1.00737784409807
3,1.0,2000,gcca,-1.8677520778484114
1,1.0,2000,disco,-1.2579451395754897
2,1.0,2000,disco,-1.0073871866673627
3,1.0,2000,disco,-1.8677476059111209
1,1.0,2000,mfa,-1.3436543853908416
2,1.0,2000,mfa,-1.2025445839995592
3,1.0,2000,mfa,-1.8641907219637208
1,1.0,2000,hpca,-1.2554450856045698
2,1.0,2000,hpca,-0.9964352537219542
3,1.0,2000,hpca,-1.8646614142977513
1,1.0,2500,clustered,-4.280705872380561
2,1.0,2500,clustered,-3.9868172739282888
3,1.0,2500,clustered,-6.274048012505791
1,1.0,2500,distinct,-3.293695400073498
2,1.0,2500,distinct,-3.0711395822701903
3,1.0,2500,distinct,-6.284400036618017
1,1.0,2500,ajive,-1.2570826987192025
2,1.0,2500,ajive,-1.0013107711793818
3,1.0,2500,ajive,-1.8690403057469283
1,1.0,2500,mcca,-1.2422474788437978
2,1.0,2500,mcca,-0.9893114740999774
3,1.0,2500,mcca,-1.8690364988785406
1,1.0,2500,gcca,-1.257090913763554
2,1.0,2500,gcca,-1.0013117985292692
3,1.0,2500,gcca,-1.869044029316801
1,1.0,2500,disco,-1.2570681581236218
2,1.0,2500,disco,-1.0013125195151722
3,1.0,2500,disco,-1.869040649709557
1,1.0,2500,mfa,-1.4285172499531502
2,1.0,2500,mfa,-1.2046446585533535
3,1.0,2500,mfa,-1.864571746210922
1,1.0,2500,hpca,-1.254619709282614
2,1.0,2500,hpca,-0.9902107871161713
3,1.0,2500,hpca,-1.8650050731097363
1,1.0,3000,clustered,-4.310884158118594
2,1.0,3000,clustered,-4.068350691108212
3,1.0,3000,clustered,-6.341263261787875
1,1.0,3000,distinct,-3.2614015329203987
2,1.0,3000,distinct,-3.1126264006296998
3,1.0,3000,distinct,-6.33171152597749
1,1.0,3000,ajive,-1.2526051398529323
2,1.0,3000,ajive,-1.0080919340463914
3,1.0,3000,ajive,-1.8669417610094403
1,1.0,3000,mcca,-1.237194710478859
2,1.0,3000,mcca,-0.9953144880585437
3,1.0,3000,mcca,-1.8669368524130825
1,1.0,3000,gcca,-1.2526108271611758
2,1.0,3000,gcca,-1.0080926479530392
3,1.0,3000,gcca,-1.866944855976337
1,1.0,3000,disco,-1.25261073472125
2,1.0,3000,disco,-1.008106320262135
3,1.0,3000,disco,-1.8669426421483686
1,1.0,3000,mfa,-1.4043254202624564
2,1.0,3000,mfa,-1.2071843597990846
3,1.0,3000,mfa,-1.8623625091349434
1,1.0,3000,hpca,-1.2508508906636115
2,1.0,3000,hpca,-0.9980089724129914
3,1.0,3000,hpca,-1.8627479811754626
1,1.0,3500,clustered,-4.243742671408605
2,1.0,3500,clustered,-4.07737124372621
3,1.0,3500,clustered,-6.206505027241039
1,1.0,3500,distinct,-3.230601406104523
2,1.0,3500,distinct,-3.1286229522316984
3,1.0,3500,distinct,-6.2044532286006735
1,1.0,3500,ajive,-1.243228675429868
2,1.0,3500,ajive,-1.0040915219286382
3,1.0,3500,ajive,-1.8684190486043413
1,1.0,3500,mcca,-1.2273747731657787
2,1.0,3500,mcca,-0.991180116380509
3,1.0,3500,mcca,-1.8684263280473359
1,1.0,3500,gcca,-1.2432328893638391
2,1.0,3500,gcca,-1.0040919973838431
3,1.0,3500,gcca,-1.8684209036852018
1,1.0,3500,disco,-1.243221443884558
2,1.0,3500,disco,-1.0040867204783142
3,1.0,3500,disco,-1.8684193968860061
1,1.0,3500,mfa,-1.4329287830195874
2,1.0,3500,mfa,-1.2103437656763025
3,1.0,3500,mfa,-1.8652378052336867
1,1.0,3500,hpca,-1.241997663211781
2,1.0,3500,hpca,-0.9945104303504309
3,1.0,3500,hpca,-1.8654138716081072
1,1.0,4000,clustered,-4.215959682313873
2,1.0,4000,clustered,-4.036270727521925
3,1.0,4000,clustered,-6.49445931176561
1,1.0,4000,distinct,-3.290205095707595
2,1.0,4000,distinct,-3.1077540577364617
3,1.0,4000,distinct,-6.49665499075376
1,1.0,4000,ajive,-1.2525441199930738
2,1.0,4000,ajive,-1.006598118907516
3,1.0,4000,ajive,-1.870058343686541
1,1.0,4000,mcca,-1.2360854022991756
2,1.0,4000,mcca,-0.9944535152972765
3,1.0,4000,mcca,-1.8700634403173897
1,1.0,4000,gcca,-1.2525471456807509
2,1.0,4000,gcca,-1.0065986035895715
3,1.0,4000,gcca,-1.8700598276483826
1,1.0,4000,disco,-1.2525484511357718
2,1.0,4000,disco,-1.0065899155725961
3,1.0,4000,disco,-1.8700583854654036
1,1.0,4000,mfa,-1.4391425923322632
2,1.0,4000,mfa,-1.2316933571399975
3,1.0,4000,mfa,-1.8671250227992693
1,1.0,4000,hpca,-1.2510865038155883
2,1.0,4000,hpca,-0.998089908479537
3,1.0,4000,hpca,-1.8673683437990969
