rho,Method,Modality,Error
0.95,clustered,1,0.01605738088845403
0.95,clustered,2,0.018802252715763267
0.95,clustered,3,0.0019114627986664937
0.95,distinct,1,0.03896062125734639
0.95,distinct,2,0.04221453845594678
0.95,distinct,3,0.001917430068786353
0.95,ajive,1,0.2876641966654226
0.95,ajive,2,0.3647694801290182
0.95,ajive,3,0.1540644245982735
0.95,mcca,1,0.292227521800706
0.95,mcca,2,0.36940200038019694
0.95,mcca,3,0.15406405897863776
0.95,gcca,1,0.2876629875616618
0.95,gcca,2,0.3647692815300373
0.95,gcca,3,0.15406410158441963
0.95,disco,1,0.28766345644955166
0.95,disco,2,0.3647722803246909
0.95,disco,3,0.1540644261105012
0.95,mfa,1,0.23873635659622403
0.95,mfa,2,0.29773053487504486
0.95,mfa,3,0.15465515263532673
0.95,hpca,1,0.2882359118815106
0.95,hpca,2,0.36840654129309125
0.95,hpca,3,0.1545914244139169
