rho,Method,Modality,Error
0.9,clustered,1,0.014505041424270974
0.9,clustered,2,0.01753553058177071
0.9,clustered,3,0.0016415632460630967
0.9,distinct,1,0.039768001664509514
0.9,distinct,2,0.04460790759571888
0.9,distinct,3,0.0016568795506149779
0.9,ajive,1,0.28557296236211693
0.9,ajive,2,0.3657619636904447
0.9,ajive,3,0.15499669369190625
0.9,mcca,1,0.28994406619368057
0.9,mcca,2,0.3702260120813554
0.9,mcca,3,0.15499724474468995
0.9,gcca,1,0.28557180222083606
0.9,gcca,2,0.3657617874414227
0.9,gcca,3,0.15499634680197383
0.9,disco,1,0.28557199195683597
0.9,disco,2,0.3657614883717627
0.9,disco,3,0.1549968096510405
0.9,mfa,1,0.23655405353786402
0.9,mfa,2,0.29239863705516744
0.9,mfa,3,0.155501119118187
0.9,hpca,1,0.28576919794254885
0.9,hpca,2,0.36978197048945777
0.9,hpca,3,0.15551490572164534
